Start Time;End Time;Sentence;Translation;Emotion_fine;Emotion_core;Student Emotion;Corrected_emotion
00:00:27.799000;00:00:31.600000;Marina is minder proud op Rob, want die maakt geen enkele move.;Marina is less proud of Rob, because he doesn't make any moves.;disappointment;sadness;neutral;sadness
00:00:32.200000;00:00:36.799000;Vind jij dat je echt flirt met ons?;Do you think you really flirt with us?;curiosity;neutral;anger;neutral
00:00:37.400000;00:00:38.400000;Nee.;No.;rejection;anger;sadness;neutral
00:00:38.400000;00:00:42.799000;Ik weet niet zo goed hoe ik dat nou moet overbrengen naar een ander.;I don't really know how to convey that to someone else.;uncertainty;fear;sadness;fear
00:00:42.799000;00:00:43.799000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:00:44.400000;00:00:47.400000;Sama en Binta zijn juist heel erg goed in flirten.;Sama and Binta are actually very good at flirting.;admiration;happiness;surprise;surprise
00:00:48;00:00:49;Echt een plaatje.;Really a picture.;admiration;happiness;surprise;surprise
00:00:49;00:00:50;Dankjewel.;Thank you.;gratitude;happiness;happiness;happiness
00:00:50;00:00:53;Wat ik zie, je hebt een hele mooie rust om je heen hangen.;What I see, you have a very beautiful calmness around you.;serenity;happiness;surprise;surprise
00:00:53;00:00:54;En andersom.;And the other way around.;acceptance;neutral;surprise;neutral
00:00:54;00:00:57;Dat je heel goed kan praten.;That you can talk very well.;appreciation;happiness;surprise;neutral
00:00:57.799000;00:00:58.799000;Ik heb daar best wel mee te maken.;I have quite a lot to do with that.;resignation;neutral;sadness;sadness
00:00:58.799000;00:00:59.799000;Maar confidence.;But confidence.;hope;happiness;happiness;happiness
00:00:59.799000;00:01:00.799000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:01:01.599000;00:01:04.599000;Zelfverzekerde Sama maakt het spannend tot het eind.;Confident Sama makes it exciting until the end.;anticipation;surprise;happiness;happiness
00:01:05.199000;00:01:08.199000;Er is Ã©Ã©n factor en dat vertel ik dan str;There is one factor and I will tell you that later.;suspense;surprise;happiness;surprise
00:01:09.199000;00:01:10.199000;Door die insecten.;Because of those insects.;annoyance;disgust;disgust;disgust
00:01:10.199000;00:01:11.199000;Nee.;No.;rejection;neutral;neutral;neutral
00:01:13.599000;00:01:15.599000;Want ik ben echt bang voor insecten.;Because I am really afraid of insects.;phobia;fear;fear;fear
00:01:16;00:01:18;Dit is lang leven de liefde.;This is long live love.;celebration;happiness;happiness;happiness
00:01:27.800000;00:01:29.800000;De mooiste verhalen.;The most beautiful stories.;nostalgia;happiness;happiness;happiness
00:01:29.800000;00:01:31.800000;Lang leven de liefde.;Long live love.;joy;happiness;happiness;happiness
00:01:31.800000;00:01:34.800000;De liefde is vrij.;Love is free.;liberation;happiness;happiness;happiness
00:01:40.199000;00:01:41.199000;Bijna.;Almost.;expectation;surprise;neutral;neutral
00:01:41.199000;00:01:42.199000;OkÃ©, laat me probere;Okay, let me try.;determination;happiness;sadness;neutral
00:01:42.199000;00:01:44.199000;Dus dit zet je hierin.;So you put this in here.;instruction;neutral;neutral;neutral
00:03:54.199000;00:03:55.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:03:55.199000;00:03:56.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:03:56.199000;00:03:57.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:03:57.199000;00:03:58.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:03:58.199000;00:03:59.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:03:59.199000;00:04:00.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:04:00.199000;00:04:01.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:04:01.199000;00:04:02.199000;Ik ga zo meteen...;I'm going in a moment...;hesitation;fear;neutral;fear
00:04:03.020000;00:04:06.520000;Ik ben ook heel erg...;I am also very much...;anticipation;happiness;neutral;happiness
00:04:06.520000;00:04:10.720000;Ik ben ook heel erg achterop hier achterin.;I am also very much behind here in the back.;insecurity;fear;neutral;neutral
00:04:10.720000;00:04:17.079000;Ik denk dat hij dat dus ook doet...;I think he does that too...;speculation;neutral;neutral;neutral
00:04:17.079000;00:04:18.079000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:04:18.079000;00:04:18.940000;Welke deel ging erin?;Which part went in?;curiosity;surprise;neutral;surprise
00:04:18.940000;00:04:23.920000;Welke deal ging ermee...;Which deal went with it...;confusion;surprise;neutral;surprise
00:04:23.920000;00:04:26.179000;Ik denk...;I think...;uncertainty;neutral;neutral;neutral
00:04:26.179000;00:04:29.019000;Ik denk...;I think...;uncertainty;neutral;neutral;neutral
00:04:29.019000;00:04:30.279000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:04:31.059000;00:04:34.339000;Ja, ik ben ook heel erg benieuwd wat hij gaat doen.;Yes, I am also very curious about what he is going to do.;curiosity;surprise;happiness;surprise
00:04:34.339000;00:04:35.339000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:04:35.339000;00:04:37.739000;Nou, laten we het maar oppassen afkomen, hÃ�;Well, let's just get it over with carefully, okay?;resignation;neutral;neutral;neutral
00:04:37.739000;00:04:38.739000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:04:43.779000;00:04:49.100000;Saba en Binta zijn inmiddels ook 24 uur samen en dat ging gepaard met de nodige complimenten;Saba and Binta have now also been together for 24 hours and that was accompanied by the necessary compliments;appreciation;happiness;neutral;happiness
00:04:49.100000;00:04:50.100000;over en weer.;back and forth.;uncertainty;neutral;neutral;neutral
00:04:50.100000;00:04:54.660000;Maar Binta vindt het lastig om zichzelf uit te spreken, terwijl Saba daar juist geen enkele;But Binta finds it difficult to express herself, while Saba has no such;insecurity;fear;neutral;fear
00:04:54.660000;00:04:55.660000;moeite mee heeft.;has trouble with it.;struggle;sadness;neutral;sadness
00:04:55.660000;00:04:59.779000;Ik ben vanaf moment 1 dat je binnenkwam aangenaam verrast.;I have been pleasantly surprised from the moment you walked in.;pleasantness;surprise;surprise;surprise
00:05:00.779000;00:05:02.420000;Je straalt, je bent knap.;You radiate, you are beautiful.;admiration;happiness;happiness;happiness
00:05:02.420000;00:05:04.459000;Je bent een hele mooie dame om te zien.;You are a very beautiful lady to look at.;admiration;happiness;happiness;happiness
00:05:04.459000;00:05:05.459000;Dank je wel.;Thank you.;gratitude;happiness;happiness;happiness
00:05:05.459000;00:05:10.140000;Ik vind het heel schattig dat je beestjes allemaal heel erg eng vindt.;I find it very cute that you find all the little animals very scary.;amusement;happiness;happiness;happiness
00:05:10.140000;00:05:12.059000;Een beetje een prinsesje bent.;You are a bit of a princess.;condescension;disgust;happiness;disgust
00:05:12.059000;00:05:17.100000;Daardoor zet je mij ook op mijn plek waar ik hoort te staan, vind ik, in een verhouding;Because of that, you also put me in my place where I think I belong, in a relationship;acceptance;neutral;neutral;neutral
00:05:17.100000;00:05:18.619000;tussen man en vrouw.;between man and woman.;neutrality;neutral;neutral;neutral
00:05:18.619000;00:05:21.540000;Ja, ik heb besloten om te verlengen.;Yes, I have decided to extend.;resolution;neutral;neutral;neutral
00:05:21.540000;00:05:27.179000;Ik zie er wel wat meer in zitten dat we nog meer converseren, wat meer de diepte in gaan.;I do see some more potential in us conversing further, going a bit deeper.;openness;happiness;happiness;happiness
00:05:27.179000;00:05:28.779000;Wat meer affectie zoeken.;Seeking a bit more affection.;longing;sadness;happiness;sadness
00:05:29.459000;00:05:30.459000;OkÃ�;OkÃ�;acceptance;neutral;neutral;neutral
00:05:30.459000;00:05:31.459000;Ik weet niet hoe dat bij jou zit.;I don't know how that is for you.;uncertainty;neutral;neutral;neutral
00:05:31.459000;00:05:32.459000;Ik ben wel wat benieuwd.;I am a bit curious.;curiosity;surprise;happiness;surprise
00:05:32.459000;00:05:35.380000;Ik heb het ook heel leuk gevonden.;I also really enjoyed it.;enjoyment;happiness;happiness;happiness
00:05:35.380000;00:05:40.980000;We hebben het gezellig gehad, goeie gesprekken gehad, ook een klein beetje diepe gesprekken;We had a good time, had good conversations, also a little bit of deep conversations;contentment;happiness;happiness;happiness
00:05:40.980000;00:05:41.980000;gehad.;had.;neutrality;neutral;happiness;neutral
00:05:41.980000;00:05:44.179000;Veel gemeen, vond ik zelf.;A lot in common, I thought myself.;recognition;happiness;happiness;happiness
00:05:44.179000;00:05:45.179000;Zeker.;Certainly.;assurance;neutral;happiness;neutral
00:05:45.179000;00:05:47.420000;Ik kon veel van mezelf terugvinden in jou.;I could see a lot of myself in you.;recognition;happiness;happiness;happiness
00:05:47.420000;00:05:48.420000;Andersom wel.;The other way around, yes.;acceptance;neutral;happiness;neutral
00:05:48.420000;00:05:49.420000;En in jouw verhalen.;And in your stories.;curiosity;neutral;neutral;neutral
00:05:49.420000;00:05:50.420000;Andersom wel.;The other way around, yes.;acceptance;neutral;happiness;neutral
00:05:50.420000;00:05:53.380000;Dus dat vond ik wel heel fijn, om zulke gesprekken te kunnen voeren.;So I really liked being able to have such conversations.;appreciation;happiness;happiness;happiness
00:05:53.380000;00:05:58.059000;Alleen, het enige ding bij mij is, is dat je mijn type niet bent.;Only, the only thing with me is, is that you're not my type.;rejection;sadness;neutral;sadness
00:05:58.579000;00:06:00.619000;Terwijl je wel een hele knappe man bent.;While you are a very handsome man.;admiration;happiness;happiness;happiness
00:19:48.676000;00:19:51.316000;Ja, want we gaan eten. Waar hou je van?;Yes, because we are going to eat. What do you like?;curiosity;neutral;happiness;neutral
00:19:51.436000;00:19:53.116000;Ik wil de sushi eten. Sushi?;I want to eat the sushi. Sushi?;desire;happiness;surprise;surprise 
00:19:53.235000;00:19:55.116000;Ja, maar dat zelf maken.;Yes, but making that yourself.;reluctance;neutral;neutral;surprise 
00:19:55.235000;00:19:56.436000;Zelf maken? Ja.;Make it yourself? Yes.;determination;happiness;surprise;surprise 
00:19:56.515000;00:19:58.915000;Kun je dat? Tuurlijk, dat kan iedereen.;Can you do that? Of course, anyone can do that.;confidence;happiness;neutral;neutral
00:19:59.036000;00:20:01.875000;Rijst koken, hou een vis erop...;Cook rice, put a fish on it...;anticipation;neutral;neutral;neutral
00:20:01.996000;00:20:04.555000;...als ik je pas zie, de sojasaus in je bek zouden houden.;...if I just saw you, you should keep the soy sauce in your mouth.;contempt;disgust;disgust;anger
00:20:04.676000;00:20:06.155000;OkÃ©, ik ben niet van de sushi, maar.;Okay, I'm not into sushi, but...;hesitation;neutral;disgust;neutral
00:20:06.275000;00:20:08.436000;O, niet? Nou, zeg jij dan maar.;Oh, not? Well, you say it then.;resignation;sadness;anger;anger
00:20:08.555000;00:20:11.235000;Wat waar jij is. Ik laat me wel verrassen.;Whatever you are. I'll let myself be surprised.;openness;surprise;neutral;surprise 
00:20:11.356000;00:20:12.435000;Nee, maar waar had je zin in?;No, but what did you feel like?;curiosity;neutral;neutral;neutral
00:20:12.556000;00:20:14.595000;Ja, ik heb er niet over nagedacht, eigenlijk.;Yes, I haven't really thought about it, actually.;indifference;neutral;neutral;neutral
00:20:14.715000;00:20:16.995000;Ik ben... Dat maakt mij niet zo veel uit.;I am... That doesn't matter much to me.;indifference;neutral;anger ;disgust
00:20:17.116000;00:20:18.676000;Ja, zo komen we er niet. Nee.;Yes, this way we won't get there. No.;frustration;anger;anger;anger
00:20:18.795000;00:20:20.836000;Maar wat ik zeg, sushi wil ik wel proberen.;But as I said, I do want to try sushi.;openness;neutral;neutral;neutral
00:20:20.955000;00:20:23.435000;Die heb je toch ook met vlees of is dat alleen vis?;You have those with meat too, right, or is that only with fish?;curiosity;neutral;neutral ;neutral
00:20:23.476000;00:20:24.476000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:20:24.595000;00:20:25.595000;Ja.;Yes.;agreement;neutral;neutral;neutral
00:20:25.715000;00:20:27.196000;Een gouden vis, hÃ�;A goldfish, right?;curiosity;neutral;happiness;happiness
00:20:29.316000;00:20:30.316000;Visstuk dus?;So, fish piece?;confusion;surprise;neutral;neutral
00:20:30.435000;00:20:31.916000;Ja. Nee, dat maakt mij niet zo veel uit.;Yes. No, that doesn't matter much to me.;indifference;neutral;anger ;anger
00:20:32.036000;00:20:33.036000;Verzin jij maar wat.;You just make something up.;resignation;neutral;anger;anger
00:20:33.155000;00:20:36.036000;Ja, zo komen we er niet. Het moet wel een beetje met z'n tweeÃ«;Yes, this way we won't get anywhere. It really has to be a bit together.;frustration;anger;anger;anger
00:20:36.155000;00:20:38.116000;Ja, dat is waar. Ja, daar heb je een goed punt.;Yes, that's true. Yes, you have a good point there.;agreement;neutral;happiness;happiness
00:20:38.235000;00:20:39.435000;Man moet voortouw nemen.;One must take the lead.;determination;neutral;neutral ;fear
00:20:39.556000;00:20:41.036000;Ja, okÃ©, dat is waa;Yes, okay, that's true.;acceptance;neutral;neutral ;neutral
00:20:41.155000;00:20:42.595000;Nou, ga pakken, aardappels of zo.;Well, go get some, potatoes or something.;impatience;anger;neutral;anger
00:20:42.715000;00:20:45.075000;Gewoon even die krieeltjes dan. Ja, prima.;Just those little potatoes then. Yes, fine.;acceptance;neutral;happiness ;neutral
00:20:45.196000;00:20:46.795000;Qua ontbijt. Ja.;As for breakfast. Yes.;acceptance;neutral;neutral;neutral
00:20:46.916000;00:20:48.515000;Ik ga niet zeggen dat je niet ontbijt.;I'm not going to say that you don't eat breakfast.;restraint;neutral;neutral;neutral
00:20:48.636000;00:20:50.396000;Jawel. Jawel, jawel.;Yes. Yes, yes.;insistence;neutral;neutral;happiness
00:20:50.515000;00:20:52.036000;Ja, kijk...;Yes, look...;hesitation;neutral;surprise;surprise 
00:20:52.036000;00:20:54.476000;Het weekend of met m'n dochter is anders, maar...;The weekend or with my daughter is different, but...;uncertainty;neutral;happiness;happiness
00:20:54.595000;00:20:55.595000;Ik heb een dochter.;I have a daughter.;contentment;happiness;happiness ;neutral
00:20:55.715000;00:20:57.355000;O ja? Ja. Jij kinderen?;Oh yeah? Yes. You, children?;curiosity;neutral;neutral;neutral
00:20:57.476000;00:20:58.676000;Nee. Ja, ik heb een kat.;No. Yes, I have a cat.;assertion;neutral;happiness;neutral
00:20:58.795000;00:21:00.515000;Hoe oud ben jij eigenlijk? Ik ben dertig.;How old are you actually? I am thirty.;curiosity;neutral;neutral;neutral
00:21:00.636000;00:21:01.636000;Dertig? OkÃ�;Thirty? Okay.;acceptance;neutral;surprised ;neutral
00:21:01.756000;00:21:02.995000;Ja, jij? Ik ben wel veertig.;Yes, you? I am actually forty.;self-disclosure;neutral;neutral;surprise 
00:21:03.116000;00:21:04.595000;Veertig al? O nee.;Forty already? Oh no.;dismay;sadness;surprise;surprise 
00:21:04.715000;00:21:06.715000;O, sorry.;O, sorry.;regret;sadness;sadness;sadness
00:21:06.836000;00:21:08.795000;Nee, hoor. Ik voel me geen veertig, hoor.;No, not at all. I don't feel forty, really.;denial;neutral;neutral;neutral
00:21:08.916000;00:21:09.916000;Nee, dat is goed.;No, that's fine.;acceptance;neutral;neutral;neutral
00:21:11.476000;00:21:14.116000;Rob en Amber delen gelijk een passie voor snelheid...;Rob and Amber immediately share a passion for speed...;enthusiasm;happiness;happiness ;happiness
00:21:14.235000;00:21:16.316000;en zijn direct in de actiestand geschoten.;and immediately switched into action mode.;readiness;happiness;happiness;happiness
00:21:16.435000;00:21:19.235000;Een potje waterbolen haalt het niet bij een motorrit...;A game of water bowling doesn't compare to a motorcycle ride...;preference;neutral;neutral ;neutral
00:21:19.355000;00:21:20.875000;maar het is een goede tweede.;but it's a good second.;contentment;happiness;happiness;happiness
00:21:20.916000;00:21:22.396000;Lang vrijgezel?;Single for long?;curiosity;neutral;neutral;surprise 
00:21:22.515000;00:21:27.355000;Ik ben ongeveer drie jaar, denk ik, echt vrijgezel.;I have been really single for about three years, I think.;reflection;neutral;sadness;sadness
00:21:27.476000;00:21:28.476000;Ja.;Yes.;agreement;neutral;neutral ;neutral
00:21:28.595000;00:21:30.435000;Ik heb in de tussentijd wel gedated.;I have dated in the meantime.;openness;neutral;happiness ;neutral
00:31:31.345000;00:31:33.345000;En vooral de mannen hebben daar last van.;And especially the men suffer from that.;resignation;sadness;fear;sadness
00:31:33.345000;00:31:35.345000;Ik denk voortdurend aan lekkere dingen.;I constantly think about tasty things.;craving;happiness;happiness;happiness
00:31:35.345000;00:31:38.345000;Puntzakken erop, potten, ijs, noem maar op.;Cones on top, jars, ice cream, you name it.;enthusiasm;happiness;neutral;happiness
00:31:38.345000;00:31:40.345000;Ik merk wel, omdat ik lang ben...;I do notice, because I am tall...;self-consciousness;neutral;neutral;neutral
00:31:40.345000;00:31:42.345000;dat ik meer wil eten dan de rest.;that I want to eat more than the rest.;craving;happiness;fear;happiness
00:31:42.345000;00:31:44.345000;Kijk, kijk. Het ziet er zisserig uit.;Look, look. It looks creepy.;unease;fear;disgust;disgust
00:31:44.345000;00:31:46.345000;Ja, ja, ja. Je gaat probbelen.;Yes, yes, yes. You are going to mess up.;mockery;disgust;fear;disgust
00:31:46.345000;00:31:48.345000;We hebben een echte bakplaat, man.;We have a real baking tray, man.;pride;happiness;neutral;happiness
00:31:49.345000;00:31:53.345000;Wij zijn heel gelukkig met Ã©Ã©n pannenkoekje, zoals we dat noe;We are very happy with one little pancake, as we call it.;contentment;happiness;happiness;happiness
00:31:53.345000;00:31:57.345000;Normaal eet iemand zochtens vijf pannenkoekjes.;Normally someone eats five pancakes in the morning.;routine;neutral;neutral;neutral
00:31:57.345000;00:32:00.345000;Wij eten Ã©Ã©n pannenkoekje met z'n zeve;We are eating one little pancake with the seven of us.;scarcity;sadness;neutral;sadness
00:32:00.345000;00:32:02.345000;Dat is weinig.;That is little.;disappointment;sadness;sadness;sadness
00:32:03.345000;00:32:05.345000;O, dat ziet er wel lekker uit.;Oh, that looks really tasty.;appetite;happiness;happiness;happiness
00:32:05.345000;00:32:07.345000;We gaan er gewoon op eten nu.;We are just going to eat on it now.;acceptance;neutral;happiness;neutral
00:32:07.345000;00:32:09.345000;Ik denk dat we er eentje maken.;I think we'll make one.;expectation;neutral;neutral;neutral
00:32:09.345000;00:32:11.345000;Maar het is het eerste stukje, hÃ�;But it's the first part, right?;curiosity;neutral;neutral;neutral
00:32:11.345000;00:32:12.345000;Nee, dank u wel.;No, thank you.;politeness;neutral;happiness;neutral
00:32:12.345000;00:32:14.345000;Lekker. Goed, hoor. Heel goed.;Tasty. Good, really. Very good.;satisfaction;happiness;happiness;happiness
00:32:14.345000;00:32:16.345000;Heel goed.;Very good.;approval;happiness;happiness;happiness
00:32:33.345000;00:32:37.345000;Op Simbang is het vlot weer, zoals elke ochtend, losgeslagen.;At Simbang, the raft has come loose again, as it does every morning.;resignation;neutral;neutral;neutral
00:32:37.345000;00:32:39.345000;Al enige tijd wil Jennifer het afbreken.;For some time now, Jennifer has wanted to break it off.;resignation;sadness;anger;anger
00:32:39.345000;00:32:41.345000;Maar Erik wil dat niet.;But Erik doesn't want that.;reluctance;sadness;sadness;sadness
00:32:41.345000;00:32:45.345000;Zullen we dat vlot zo snel mogelijk aan stukken moeten hakken en gebruiken?;Should we chop up that raft as quickly as possible and use it?;urgency;fear;happiness;fear
00:32:45.345000;00:32:47.345000;Nog niet. Waarom niet?;Not yet. Why not?;curiosity;surprise;neutral;surprise
00:32:47.345000;00:32:49.345000;Elke ochtend hebben we een gekloot met dat vlot.;Every morning we have a hassle with that raft.;frustration;anger;anger;anger
00:32:49.345000;00:32:52.345000;Dan moeten we ervoor zorgen dat er elke ochtend geen gekloot meer is.;Then we have to make sure that there is no more messing around every morning.;frustration;anger;anger;anger
00:32:52.345000;00:32:55.345000;Dan moet je een afspraak maken met de zee, dat die het vlot laat liggen.;Then you have to make an appointment with the sea, that it leaves the raft alone.;irony;neutral;sadness;neutral
00:32:55.345000;00:32:57.345000;Dat vind ik ook niet zo goed.;I don't think that's so good either.;disapproval;disgust;anger;disgust
00:32:57.345000;00:33:00.345000;Hij is heel goed in voorstellen doen en andere mensen ze laten uitvoeren.;He is very good at making suggestions and getting other people to carry them out.;admiration;happiness;neutral;happiness
00:33:00.345000;00:33:02.345000;Als ze hem nu loslaten...;If they let him go now...;apprehension;fear;fear;fear
00:33:02.345000;00:33:04.345000;Je wordt een beetje betutteld.;You are being a bit patronized.;irritation;anger;happiness;anger
00:33:04.345000;00:33:08.345000;Het is net alsof je een klein kindje bent waar hij altijd tegen aan het praten bent.;It's as if you are a little child that he is always talking to.;condescension;disgust;neutral;disgust
00:33:08.345000;00:33:10.345000;Hij moet ook altijd alles uitleggen van...;He always has to explain everything too...;annoyance;anger;anger;anger
00:33:10.345000;00:33:13.345000;Daar is de zee. Hier komt het naartoe drijven.;There is the sea. Here it comes drifting towards it.;curiosity;neutral;surprise;neutral
00:33:13.345000;00:33:17.345000;Dan pak ik het op. Dan mag jij het vervolgens.;Then I'll pick it up. Then you can have it afterwards.;cooperation;neutral;neutral;neutral
00:33:17.345000;00:33:21.345000;En dat begint op een gegeven moment heel erg vervelend te worden.;And at a certain point, that starts to become very annoying.;annoyance;anger;anger;anger
00:33:23.345000;00:33:25.345000;We gaan nu proberen om hem vast te leggen.;We are now going to try to capture him.;determination;neutral;surprise;neutral
00:33:25.345000;00:33:28.345000;We hebben en geen brandstof en geen vlot en niks.;We have no fuel and no raft and nothing.;hopelessness;sadness;neutral;sadness
00:33:28.345000;00:33:32.345000;Volgens mij was het de bedoeling om dat vlot gelijk te gebruiken als we aankwamen.;I think the intention was to use that raft immediately when we arrived.;expectation;neutral;surprise;surprise
00:33:34.345000;00:33:36.345000;En dat hout te laten drogen voor brandhout.;And to let that wood dry for firewood.;practicality;neutral;neutral;neutral
00:33:36.345000;00:33:39.345000;Maar wij weten niet altijd wat de bedoeling is.;But we do not always know what the intention is.;uncertainty;fear;surprise;fear
00:33:39.345000;00:33:41.345000;Of kapot maken de rotting.;Or destroy the decay.;contempt;disgust;anger;anger
00:33:41.345000;00:33:45.345000;Het vlot laat ik voorlopig even gaan als een hondje aan een touw.;For now, I let the raft go for a while like a little dog on a leash.;detachment;neutral;happiness;happiness
00:33:45.345000;00:33:48.345000;En dan kunnen we later beslissen wat we ermee gaan doen.;And then we can decide later what we are going to do with it.;uncertainty;neutral;surprise;neutral
00:33:59.345000;00:34:03.345000;Vandaag is er weer een nieuwe confrontatie tussen beide kampen.;Today there is another new confrontation between both camps.;tension;fear;anger;fear
00:34:03.345000;00:34:05.345000;De eilandbewoners zijn dan ook behoorlijk gespannen.;The island inhabitants are therefore quite tense.;tension;fear;fear;fear
00:34:05.345000;00:34:08.345000;En dan blijkt Coenraad ook nog ontvindbaar.;And then it turns out Coenraad is also unreachable.;frustration;sadness;sadness;sadness
00:34:08.345000;00:34:12.345000;Jongens, jullie hebben het al een beetje zorgen te maken over Coenraad.;Guys, you already have a bit of worry about Coenraad.;concern;fear;fear;fear
00:34:12.460000;00:34:18.460000;Ik denk dat we zo toch maar even op zoek moeten gaan, want het duurt te lang.;I think we should go and look soon, because it's taking too long.;impatience;anger;fear;fear
00:34:18.460000;00:34:20.460000;Daar word ik al een beetje bang van hoor.;That already makes me a little scared, you know.;apprehension;fear;fear;fear
00:34:20.460000;00:34:23.460000;Ik ook. Ik ook. Ik ook. Ik ook.;Me too. Me too. Me too. Me too.;agreement;neutral;fear;neutral
00:42:30.460000;00:42:32.460000;Er wordt wat minder met me gesproken.;People talk to me a little less.;isolation;sadness;neutral;sadness
00:42:32.460000;00:42:34.460000;Er wordt wat om me heen gelopen.;There is some walking around me.;unease;fear;fear;fear
00:42:35.460000;00:42:38.460000;Dat gevoel komt uit kleine dingetjes.;That feeling comes from little things.;appreciation;happiness;neutral;happiness
00:42:38.460000;00:42:42.460000;Jennifer die heel open tegen me was.;Jennifer who was very open with me.;appreciation;happiness;happiness;happiness
00:42:42.460000;00:42:43.460000;Die ineens...;That one suddenly...;confusion;surprise;surprise;surprise
00:42:45.575000;00:42:48.975000;...luikjes laat zakken en om me heen loopt.;...lowers shutters and walks around me.;unease;fear;fear;fear
00:42:49.575000;00:42:50.575000;Iemand moet weg?;Someone has to leave?;uncertainty;fear;surprise;surprise
00:42:50.575000;00:42:52.575000;Iemand moet weg, dat is het probleem.;Someone has to leave, that's the problem.;resignation;sadness;anger;anger
