Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:03:23,1900-01-01 00:03:27,Misschien zijn wij eigenlijk de sterkste vrouwen van de groep geweest.,Maybe we were actually the strongest women in the group.,pride,happiness,mild
1900-01-01 00:03:28,1900-01-01 00:03:30,"De thee is hier niet, hè?","The tea isn't here, is it?",disappointment,sadness,mild
1900-01-01 00:03:30,1900-01-01 00:03:32,Ik blijf gewoon doen wat ik gedaan heb.,I will just keep doing what I have done.,determination,neutral,neutral
1900-01-01 00:03:32,1900-01-01 00:03:35,Want tot nu toe heeft dat dus blijkbaar gewerkt.,Because up to now that has apparently worked.,satisfaction,happiness,mild
1900-01-01 00:03:35,1900-01-01 00:03:38,"Ik heb heel goed opgelet, ik heb alles opgeschreven.","I paid very close attention, I wrote everything down.",diligence,neutral,mild
1900-01-01 00:03:38,1900-01-01 00:03:40,Ik ga kijken of ik het volhoud. Ik ga ervoor.,I'm going to see if I can keep it up. I'm going for it.,determination,happiness,moderate
1900-01-01 00:03:40,1900-01-01 00:03:44,"Ik wil het volhouden, want ik zou het helemaal te gek vinden.","I want to keep it up, because I would find it totally awesome.",enthusiasm,happiness,moderate
1900-01-01 00:03:44,1900-01-01 00:03:48,Maar ik probeer nu gewoon in het moment en per minuut te leven.,But I'm just trying to live in the moment and take it minute by minute now.,acceptance,neutral,mild
1900-01-01 00:03:48,1900-01-01 00:03:50,Ik dacht dat jij de kut was.,I thought you were the bitch.,resentment,anger,moderate
1900-01-01 00:03:50,1900-01-01 00:03:52,Zit je nog in het spel?,Are you still in the game?,curiosity,neutral,mild
1900-01-01 00:03:52,1900-01-01 00:03:54,Gadverdamme.,Yuck.,disgust,disgust,moderate
1900-01-01 00:03:56,1900-01-01 00:03:58,We doen het een beetje.,We do it a little bit.,uncertainty,neutral,mild
1900-01-01 00:03:58,1900-01-01 00:04:00,Ik ben nog steeds onderdeel van dit spel.,I am still part of this game.,acceptance,neutral,neutral
1900-01-01 00:04:00,1900-01-01 00:04:03,Ik heb ook het idee dat ik nog wel wat te spelen heb.,I also have the feeling that I still have some playing to do.,hope,happiness,mild
1900-01-01 00:04:03,1900-01-01 00:04:07,"Dus ja, ik heb zin in de volgende opdracht. Kom maar op.","So yes, I'm looking forward to the next assignment. Bring it on.",anticipation,happiness,moderate
1900-01-01 00:04:07,1900-01-01 00:04:10,"Ik heb er een beetje zin in, Tim. In wat?","I'm a little excited for it, Tim. For what?",anticipation,happiness,mild
1900-01-01 00:04:10,1900-01-01 00:04:12,Gewoon vandaag. Ja? Ja.,Just today. Yes? Yes.,acceptance,neutral,neutral
1900-01-01 00:04:12,1900-01-01 00:04:14,"Nou, jij? Ja hoor.","Well, you? Yes, sure.",acceptance,neutral,neutral
1900-01-01 00:04:37,1900-01-01 00:04:39,MUZIEK.,MUSIC.,neutrality,neutral,neutral
1900-01-01 00:04:47,1900-01-01 00:04:50,Wij kwamen aan met ons busje op Rincon Beach.,We arrived with our van at Rincon Beach.,arrival,neutral,neutral
1900-01-01 00:04:50,1900-01-01 00:04:52,Eén van de mooiste stranden van het eiland.,One of the most beautiful beaches on the island.,admiration,happiness,mild
1900-01-01 00:04:52,1900-01-01 00:04:55,"Heel mooie kleur, lichtblauw water.","Very beautiful color, light blue water.",admiration,happiness,mild
1900-01-01 00:04:55,1900-01-01 00:04:57,Het ziet er fantastisch uit.,It looks fantastic.,admiration,happiness,mild
1900-01-01 00:04:57,1900-01-01 00:05:00,En er liep een pad langs het strand waar je lekker kon wandelen.,And there was a path along the beach where you could take a nice walk.,contentment,happiness,mild
1900-01-01 00:05:00,1900-01-01 00:05:02,Met palmen ernaast.,With palm trees next to it.,description,neutral,neutral
1900-01-01 00:05:02,1900-01-01 00:05:05,Maar we zagen ook dat er zeven fietsen stonden.,But we also saw that there were seven bicycles.,curiosity,surprise,mild
1900-01-01 00:05:05,1900-01-01 00:05:07,Goedemorgen. Goedemorgen.,Good morning. Good morning.,politeness,neutral,neutral
1900-01-01 00:05:07,1900-01-01 00:05:10,We gaan een lastige quiz spelen vanochtend.,We are going to play a difficult quiz this morning.,anticipation,surprise,mild
1900-01-01 00:05:10,1900-01-01 00:05:15,"Als jullie het handig spelen, kunnen jullie de antwoorden bij elkaar fietsen.","If you play it smart, you can collect the answers together.",anticipation,neutral,mild
1900-01-01 00:05:15,1900-01-01 00:05:17,Opnieuw stonden we op een prachtig strand.,Again we stood on a beautiful beach.,contentment,happiness,mild
1900-01-01 00:05:17,1900-01-01 00:05:21,En opnieuw stond daar Acht in een eveneens strak gestreken outfit.,"And again, there was Acht in an equally sharply ironed outfit.",recognition,neutral,neutral
1900-01-01 00:05:21,1900-01-01 00:05:24,En die vertelde ons dat we moesten gaan fietsen.,And he told us that we had to go cycling.,resignation,neutral,neutral
1900-01-01 00:05:24,1900-01-01 00:05:26,Aan dit pad zien we allemaal palmbomen.,Along this path we see all palm trees.,serenity,happiness,mild
1900-01-01 00:05:26,1900-01-01 00:05:30,En aan sommige hangt het juiste antwoord op een vraag die ik ga stellen.,And on some hangs the correct answer to a question I am going to ask.,anticipation,surprise,mild
1900-01-01 00:05:31,1900-01-01 00:05:33,Er was een pad met bomen.,There was a path with trees.,serenity,neutral,neutral
1900-01-01 00:05:33,1900-01-01 00:05:36,En aan die bomen hingen kaartjes met de antwoorden op die vragen.,And on those trees hung cards with the answers to those questions.,curiosity,neutral,mild
1900-01-01 00:05:36,1900-01-01 00:05:37,Katten in het bakkie.,Cats in the box.,contentment,happiness,mild
1900-01-01 00:05:37,1900-01-01 00:05:39,Wij mochten naar die antwoorden toefietsen.,We were allowed to cycle towards those answers.,permission,happiness,mild
1900-01-01 00:05:39,1900-01-01 00:05:41,En ze doorsijden met de portofoon.,And they keep talking through the walkie-talkie.,continuity,neutral,neutral
1900-01-01 00:05:41,1900-01-01 00:05:43,Ik ga zo dadelijk naar de andere kant van de baai.,I'm going to the other side of the bay in a moment.,anticipation,neutral,mild
1900-01-01 00:05:43,1900-01-01 00:05:46,En over tien minuten precies stel ik daar de eerste vraag.,And in exactly ten minutes I will ask the first question there.,anticipation,surprise,mild
1900-01-01 00:05:46,1900-01-01 00:05:50,Het is vrij essentieel dat een van jullie op dat moment tegenover me staat.,It is quite essential that one of you is standing in front of me at that moment.,insistence,neutral,moderate
1900-01-01 00:05:50,1900-01-01 00:05:52,Om het juiste antwoord te geven.,To give the correct answer.,determination,neutral,neutral
1900-01-01 00:05:52,1900-01-01 00:05:55,En dat krijg je door van je teamgenoten.,And you get that from your teammates.,acknowledgment,neutral,neutral
1900-01-01 00:05:55,1900-01-01 00:05:57,Als het goed is.,If all goes well.,hope,happiness,mild
1900-01-01 00:05:57,1900-01-01 00:06:01,Vanaf dat moment stel ik elke minuut een nieuwe vraag.,"From that moment on, I ask a new question every minute.",anticipation,neutral,mild
1900-01-01 00:06:01,1900-01-01 00:06:03,We zijn nog met z'n zevenen.,We are still with the seven of us.,togetherness,neutral,neutral
1900-01-01 00:06:03,1900-01-01 00:06:06,De sprinter moest dus gelijk binnen tien minuten beantwoord zijn.,The sprinter had to be answered within ten minutes immediately.,urgency,fear,moderate
1900-01-01 00:06:06,1900-01-01 00:06:10,En vervolgens zouden de andere zes eigenlijk twee enveloppen vinden.,And then the other six would actually find two envelopes.,expectation,neutral,neutral
1900-01-01 00:06:10,1900-01-01 00:06:12,Om de antwoorden te geven.,To give the answers.,readiness,neutral,neutral
1900-01-01 00:06:12,1900-01-01 00:06:16,De rest mag pas vijf minuten na de eerste fietser vertrekken.,The rest may only leave five minutes after the first cyclist.,expectation,neutral,neutral
1900-01-01 00:06:16,1900-01-01 00:06:18,Ik ga nu alvast naar de andere kant van de baai.,I'm going to the other side of the bay now.,preparation,neutral,neutral
1900-01-01 00:06:18,1900-01-01 00:06:22,Dus dan hebben jullie heel even de tijd om tactiek te bepalen.,So then you have a little time to determine your tactics.,preparation,neutral,neutral
1900-01-01 00:06:23,1900-01-01 00:06:26,Dus wij gingen nadenken over een tactiek.,So we started thinking about a tactic.,contemplation,neutral,neutral
1900-01-01 00:06:26,1900-01-01 00:06:28,En dat ging eigenlijk best wel soepeltjes.,And that actually went pretty smoothly.,satisfaction,happiness,mild
1900-01-01 00:06:28,1900-01-01 00:06:30,Wie is de sprinter?,Who is the sprinter?,curiosity,neutral,mild
1900-01-01 00:06:32,1900-01-01 00:06:36,Taken had bedacht dat hij het snelste dat parcours zou kunnen afleggen.,Taken had thought that he could complete the course the fastest.,confidence,happiness,mild
1900-01-01 00:06:36,1900-01-01 00:06:38,En bij Art zou kunnen zijn.,And could be with Art.,possibility,neutral,neutral
1900-01-01 00:06:38,1900-01-01 00:06:41,En ondertussen een beetje verkennen waar die enveloppen hingen.,"And in the meantime, explore a bit where those envelopes were hanging.",curiosity,neutral,mild
1900-01-01 00:06:41,1900-01-01 00:06:43,Hoe ze eruit zagen.,How they looked.,curiosity,neutral,neutral
1900-01-01 00:06:43,1900-01-01 00:06:45,Of je duidelijk een cijfer kon zien.,Whether you could clearly see a number.,curiosity,neutral,neutral
1900-01-01 00:06:45,1900-01-01 00:06:48,Dus ik als sprinter met jullie zes gaan vraag één tot het zes vinden.,"So I, as a sprinter, with you six, am going to find question one to six.",anticipation,happiness,mild
1900-01-01 00:06:48,1900-01-01 00:06:52,Vervolgens als vraag één geweest is gaat één op zoek naar zeven.,"Then, after question one has been asked, one goes in search of seven.",curiosity,neutral,neutral
1900-01-01 00:06:52,1900-01-01 00:06:54,Twee gaat op zoek naar acht.,Two goes in search of eight.,curiosity,neutral,mild
1900-01-01 00:06:54,1900-01-01 00:06:56,Daar wacht je mee.,You wait with that.,hesitation,neutral,mild
1900-01-01 00:06:56,1900-01-01 00:06:58,Snap je? Pas als je je vraag beantwoord.,Do you understand? Only after you answer your question.,confusion,surprise,mild
1900-01-01 00:06:58,1900-01-01 00:07:00,En dan heb je gewoon vijf minuten tijd om die te vinden.,And then you just have five minutes to find those.,expectation,neutral,neutral
1900-01-01 00:07:00,1900-01-01 00:07:03,Wij hadden een hele goede tactiek bedacht door Taken.,We had come up with a really good tactic because of Taken.,pride,happiness,mild
1900-01-01 00:07:03,1900-01-01 00:07:05,Dat we de snelste voorop zouden laten gaan.,That we would let the fastest go in front.,planning,neutral,neutral
1900-01-01 00:07:05,1900-01-01 00:07:07,En de langzaamste achter.,And the slowest at the back.,acceptance,neutral,neutral
1900-01-01 00:07:07,1900-01-01 00:07:10,En die zou dan bij vraag nummer één blijven.,And that one would then remain at question number one.,indifference,neutral,neutral
1900-01-01 00:07:10,1900-01-01 00:07:13,En als die eerste vraag dan beantwoord was.,And when that first question was answered.,anticipation,neutral,mild
1900-01-01 00:07:13,1900-01-01 00:07:16,Kon diegene alweer op pad om naar vraag zeven te gaan.,Could that person already be on their way to go to question seven.,expectation,neutral,neutral
1900-01-01 00:07:16,1900-01-01 00:07:20,En op die manier zouden we zo van antwoord één naar antwoord twaalf.,And in this way we would go from answer one to answer twelve.,expectation,neutral,neutral
1900-01-01 00:07:20,1900-01-01 00:07:22,Alle antwoorden kunnen geven.,Can give all answers.,confidence,happiness,mild
1900-01-01 00:07:22,1900-01-01 00:07:24,Goed zo. Succes.,Well done. Good luck.,encouragement,happiness,mild
1900-01-01 00:07:26,1900-01-01 00:07:28,Doet-ie dat goed hè?,"He does that well, doesn't he?",admiration,happiness,mild
1900-01-01 00:07:29,1900-01-01 00:07:31,Het fietsen was best pittig.,Cycling was quite tough.,challenge,neutral,mild
1900-01-01 00:07:31,1900-01-01 00:07:35,Want op sommige stukken was het zand een stuk muller dan op andere plekken.,Because in some places the sand was much softer than in other places.,observation,neutral,neutral
1900-01-01 00:07:35,1900-01-01 00:07:39,En dan merk je wel dat je wiel een beetje wegschoot en dat het een stukje zwaarder was.,And then you notice that your wheel slipped a bit and that it was a bit heavier.,inconvenience,neutral,mild
1900-01-01 00:07:39,1900-01-01 00:07:42,Wat ik echt probeerde te doen was harde stukken zand uit te kiezen.,What I was really trying to do was pick out hard pieces of sand.,focus,neutral,neutral
1900-01-01 00:07:42,1900-01-01 00:07:44,"Ze ging af en toe een beetje links rijden, af en toe een beetje rechts.","She occasionally drove a little to the left, occasionally a little to the right.",uncertainty,neutral,mild
1900-01-01 00:07:44,1900-01-01 00:07:46,En een beetje gokken waar het goed te doen was.,And a bit of guessing where it was doable.,uncertainty,fear,mild
1900-01-01 00:07:46,1900-01-01 00:07:49,"Hé wacht even, Taken staat aan het roepen als-ie wat zag.","Hey wait a minute, Taken is shouting whenever he sees something.",alertness,surprise,mild
1900-01-01 00:07:49,1900-01-01 00:07:52,Hij heeft nog niks gezien dus. Dus het is een eind die kant op.,He hasn't seen anything yet. So it's quite a way in that direction.,expectation,neutral,mild
1900-01-01 00:07:52,1900-01-01 00:07:56,"Taken zou zeggen, als hij ging fietsen, dat-ie enveloppen zag.","Taken would say, when he went cycling, that he saw envelopes.",confusion,neutral,mild
1900-01-01 00:07:56,1900-01-01 00:07:58,En dat duurde eigenlijk vrij lang.,And that actually took quite a long time.,resignation,sadness,mild
1900-01-01 00:07:58,1900-01-01 00:08:00,"Zodat-ie riep van ja, ik heb er één gezien.","So he shouted yes, I saw one.",excitement,happiness,moderate
1900-01-01 00:08:00,1900-01-01 00:08:02,"Dus wij dachten, nou dat duurt wel even.","So we thought, well, that will take a while.",expectation,neutral,mild
1900-01-01 00:08:05,1900-01-01 00:08:08,"Ik kan ze niet lezen. Het zijn dichte enveloppen, over.","I can't read them. They are sealed envelopes, over.",frustration,sadness,mild
1900-01-01 00:08:08,1900-01-01 00:08:11,Ik had afgesproken dat ik op het moment dat ik een envelop zou zien.,I had agreed that at the moment I would see an envelope.,expectation,neutral,neutral
1900-01-01 00:08:11,1900-01-01 00:08:13,Dat ik het nummer door zou geven via de portofoon.,That I would pass on the number via the walkie-talkie.,expectation,neutral,neutral
1900-01-01 00:08:13,1900-01-01 00:08:16,Alleen de eerste envelop die ik uiteindelijk zag waar ik het doorgeefde.,Only the first envelope that I eventually saw was the one I passed on.,uncertainty,neutral,mild
1900-01-01 00:08:16,1900-01-01 00:08:19,Lag vervolgens bijna in het zand met mijn snuffer.,Then almost ended up in the sand with my nose.,embarrassment,sadness,mild
1900-01-01 00:08:19,1900-01-01 00:08:21,Zie je ze goed hangen?,Do you see them hanging well?,curiosity,neutral,neutral
1900-01-01 00:08:21,1900-01-01 00:08:23,"Ja, je ziet ze goed hangen.","Yes, you can see them hanging well.",reassurance,neutral,mild
1900-01-01 00:08:23,1900-01-01 00:08:26,Dus heb ik maar doorgegeven dat ik ze niet meer kon helpen.,So I just let them know that I could no longer help them.,resignation,sadness,mild
1900-01-01 00:08:26,1900-01-01 00:08:28,Omdat ik gewoon zoveel mogelijk vaart wilde maken.,Because I just wanted to gain as much speed as possible.,determination,neutral,mild
1900-01-01 00:08:28,1900-01-01 00:08:30,Want het zou toch balen zijn.,Because it would be a bummer.,disappointment,sadness,mild
1900-01-01 00:08:30,1900-01-01 00:08:33,Als ze tien minuten om zijn en dan staat niemand bij art.,When ten minutes have passed and then no one is at art.,disappointment,sadness,mild
1900-01-01 00:08:34,1900-01-01 00:08:37,"En toen mochten wij, vijf minuten later.","And then we were allowed, five minutes later.",expectation,neutral,neutral
1900-01-01 00:08:41,1900-01-01 00:08:43,MUZIEK.,MUSIC.,neutrality,neutral,neutral
1900-01-01 00:08:45,1900-01-01 00:08:49,Taken en wij ook hadden geen enkele idee van de afstand die we moesten overbruggen.,Tasks and we also had no idea of the distance we had to cover.,uncertainty,fear,mild
1900-01-01 00:08:49,1900-01-01 00:08:52,Dus we gingen als dollen op pad.,So we set off like madmen.,excitement,happiness,moderate
1900-01-01 00:08:52,1900-01-01 00:08:54,"Het is best wel heftig pad, man.","It's quite a tough path, man.",strain,sadness,moderate
1900-01-01 00:08:54,1900-01-01 00:08:57,Ik was klaar voor de start af en wij zijn dus dwazig gaan fietsen.,I was ready for the start and so we went cycling foolishly.,playfulness,happiness,mild
1900-01-01 00:08:57,1900-01-01 00:09:01,"Tim ging voorop, daarna Annemieke, daarna ik, daarna Klaas.","Tim went first, then Annemieke, then me, then Klaas.",orderliness,neutral,neutral
1900-01-01 00:09:01,1900-01-01 00:09:04,Daarna Marjolein en daarna Sissi.,After that Marjolein and then Sissi.,expectation,neutral,neutral
1900-01-01 00:09:04,1900-01-01 00:09:06,MUZIEK.,MUSIC.,neutrality,neutral,neutral
1900-01-01 00:09:07,1900-01-01 00:09:09,MUZIEK.,MUSIC.,neutrality,neutral,neutral
1900-01-01 00:09:09,1900-01-01 00:09:12,"Hoewel ik heel goed kan fietsen en stevige kuiten heb,","Although I can cycle very well and have strong calves,",confidence,happiness,mild
1900-01-01 00:09:12,1900-01-01 00:09:14,sloeg de schrik mij om het hart.,fear struck me to the heart.,alarm,fear,intense
1900-01-01 00:09:14,1900-01-01 00:09:16,Want van de top drie van angst is 1.,"Because from the top three of fear, number 1 is.",apprehension,fear,mild
1900-01-01 00:09:16,1900-01-01 00:09:18,Rijden op de snelweg en invoegen.,Driving on the highway and merging.,anticipation,neutral,neutral
1900-01-01 00:09:18,1900-01-01 00:09:20,2. Aan een rotswand bungelen.,2. Dangling from a rock face.,apprehension,fear,moderate
1900-01-01 00:09:20,1900-01-01 00:09:22,En 3. Op een fiets.,And 3. On a bicycle.,neutrality,neutral,neutral
1900-01-01 00:09:21.160000,1900-01-01 00:09:25.160000,"Snelrijden door zand of door kiezers, ik durf dat gewoon niet.","Speeding through sand or through gravel, I just don't dare to do that.",apprehension,fear,moderate
1900-01-01 00:09:51.160000,1900-01-01 00:09:55.160000,Achteraf gezien denk ik dat ik wellicht iets rustiger had kunnen fietsen.,"In retrospect, I think I could have cycled a bit more calmly.",regret,sadness,mild
1900-01-01 00:09:55.160000,1900-01-01 00:09:57.160000,En misschien iets meer om me heen had kunnen kijken.,And maybe I could have looked around me a bit more.,regret,sadness,mild
1900-01-01 00:09:57.160000,1900-01-01 00:09:59.160000,"Want ja, ik was ruim binnen de tijd bij Art.","Because yes, I was well within the time at Art.",satisfaction,happiness,mild
1900-01-01 00:09:59.160000,1900-01-01 00:10:01.160000,Taken. Goedemiddag.,Taken. Good afternoon.,politeness,neutral,neutral
1900-01-01 00:10:01.160000,1900-01-01 00:10:03.160000,Het verrast me niet dat jij de eerste bent.,It doesn't surprise me that you are the first.,expectation,neutral,neutral
1900-01-01 00:10:04.160000,1900-01-01 00:10:06.160000,"Ja, ze denken toch dat ik fietsen leuk vind schijnbaar.","Yes, they apparently think that I like cycling.",resignation,neutral,mild
1900-01-01 00:10:06.160000,1900-01-01 00:10:09.160000,Dikke vijf minuten overgedaan. Dan mag je melden dat je er bent.,Took a solid five minutes. Then you can report that you are there.,impatience,anger,mild
1900-01-01 00:10:09.160000,1900-01-01 00:10:11.160000,"Ik ben bij het eindpunt, over.","I am at the endpoint, over.",completion,neutral,neutral
1900-01-01 00:10:14.160000,1900-01-01 00:10:16.160000,"Heel goed, succes. Zet hem op.","Very good, good luck. Go for it.",encouragement,happiness,mild
1900-01-01 00:10:16.160000,1900-01-01 00:10:18.160000,Taken was ruim op tijd bij Art.,Tasks were well on time at Art.,satisfaction,happiness,mild
1900-01-01 00:10:18.160000,1900-01-01 00:10:21.160000,Maar die heeft ons heel weinig informatie gegeven.,But that one gave us very little information.,disappointment,sadness,mild
1900-01-01 00:10:22.160000,1900-01-01 00:10:25.160000,Ik heb een porto gevonden. Wie heeft hem wel?,I found a walkie-talkie. Who is missing one?,curiosity,neutral,mild
1900-01-01 00:10:26.160000,1900-01-01 00:10:29.160000,Wat ik opvallend vond is dat ik een portofoon aantrof.,What I found remarkable is that I found a walkie-talkie.,curiosity,surprise,mild
1900-01-01 00:10:29.160000,1900-01-01 00:10:31.160000,Echt midden op het pad. Heel opvallend.,Really in the middle of the path. Very conspicuous.,alertness,surprise,moderate
1900-01-01 00:10:32.160000,1900-01-01 00:10:34.160000,"Dames, heeft u hem?","Ladies, do you have him?",curiosity,neutral,mild
1900-01-01 00:10:34.160000,1900-01-01 00:10:36.160000,Ik heb hem ook.,I have it too.,inclusion,happiness,mild
1900-01-01 00:10:37.160000,1900-01-01 00:10:40.160000,Ik kan geen twee dingen tegelijk. En porto en fietsen.,I can't do two things at the same time. Both using the walkie-talkie and cycling.,frustration,sadness,mild
1900-01-01 00:10:41.160000,1900-01-01 00:10:43.160000,Mijn paar ogen was best relevant.,My pair of eyes was quite relevant.,reflection,neutral,mild
1900-01-01 00:10:43.160000,1900-01-01 00:10:45.160000,Want ik reed vooraan en ik moest coördineren.,Because I was driving in front and I had to coordinate.,responsibility,neutral,mild
1900-01-01 00:10:45.160000,1900-01-01 00:10:48.160000,"Jongens, hier is envelop 1, want ik kwam ze eerst tegen.","Guys, here is envelope 1, because I came across them first.",assertiveness,neutral,neutral
1900-01-01 00:10:48.160000,1900-01-01 00:10:51.160000,"En hier twee, en hier drie, vier, vijf, zes, etcetera.","And here two, and here three, four, five, six, etcetera.",indifference,neutral,neutral
1900-01-01 00:10:51.160000,1900-01-01 00:10:54.160000,"Ik dacht, ik fiets achter Annemieke en Tim aan.","I thought, I'll cycle after Annemieke and Tim.",planning,neutral,neutral
1900-01-01 00:10:54.160000,1900-01-01 00:10:57.160000,En ik merk wel wanneer de eerste envelop komt.,And I'll notice when the first envelope arrives.,expectation,neutral,mild
1900-01-01 00:10:57.160000,1900-01-01 00:10:59.160000,"Ik heb iets gevonden, Tim.","I found something, Tim.",curiosity,surprise,mild
1900-01-01 00:10:59.160000,1900-01-01 00:11:02.160000,"Is dit de eerste? Ja, hier hangt een envelop.","Is this the first one? Yes, there is an envelope hanging here.",curiosity,neutral,mild
